area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
720,5849599;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
3052,629056;Facies Caxias;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
3052,629056;Facies Caxias;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
4620,659029;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
13834,97236;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;3
1982,24218;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 30% de antropico;5
1323,190618;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 30% de antropico;5
3506,288497;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 30% de antropico;4
974,6902456;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Silvicultura;5
974,6902456;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Silvicultura;5
2607,289678;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1601,734901;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
1601,734901;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
858,9403359;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
8683,245735;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
8683,245735;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
6412,454139;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
633,3784392;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
4851,429885;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2168,926839;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
7095,160635;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
4603,049973;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
3586,721899;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
